PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Saier, MH; Yen, MR; Noto, K; Tamang, DG; Elkan, C				Saier, Milton H., Jr.; Yen, Ming Ren; Noto, Keith; Tamang, Dorjee G.; Elkan, Charles			The Transporter Classification Database: recent advances	NUCLEIC ACIDS RESEARCH												The Transporter Classification Database ( TCDB), freely accessible at http://www.tcdb.org, is a relational database containing sequence, structural, functional and evolutionary information about transport systems from a variety of living organisms, based on the International Union of Biochemistry and Molecular Biology-approved transporter classification (TC) system. It is a curated repository for factual information compiled largely from published references. It uses a functional/phylogenetic system of classification, and currently encompasses about 5000 representative transporters and putative transporters in more than 500 families. We here describe novel software designed to support and extend the usefulness of TCDB. Our recent efforts render it more user friendly, incorporate machine learning to input novel data in a semiautomatic fashion, and allow analyses that are more accurate and less time consuming. The availability of these tools has resulted in recognition of distant phylogenetic relationships and tremendous expansion of the information available to TCDB users.																	0305-1048					JAN	2009	37						D274	D278		10.1093/nar/gkn862						WOS:000261906200049	19022853	
J	Min, JH; Lee, YC				Min, JH; Lee, YC			Bankruptcy prediction using support vector machine with optimal choice of kernel function parameters	EXPERT SYSTEMS WITH APPLICATIONS												Bankruptcy prediction has drawn a lot of research interests in previous literature, and recent studies have shown that machine learning techniques achieved better performance than traditional statistical ones. This paper applies support vector machines (SVMs) to the bankruptcy prediction problem in an attempt to suggest a new model with better explanatory power and stability. To serve this purpose, we use a grid-search technique using 5-fold cross-validation to find out the optimal parameter values of kernel function of SVM. In addition, to evaluate the prediction accuracy of SVM, we compare its performance with those of multiple discriminant analysis (MDA), logistic regression analysis (Logit), and three-layer fully connected back-propagation neural networks (BPNs). The experiment results show that SVM outperforms the other methods. (c) 2005 Published by Elsevier Ltd.																	0957-4174					MAY	2005	28	4					603	614		10.1016/j.eswa.2004.12.008						WOS:000228124200001		
J	Chen, YX; Bi, JB; Wang, JZ				Chen, Yixin; Bi, Jinbo; Wang, James Z.			MILES: Multiple-Instance Learning via Embedded instance Selection	IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE												Multiple- instance problems arise from the situations where training class labels are attached to sets of samples (named bags), instead of individual samples within each bag (called instances). Most previous multiple- instance learning (MIL) algorithms are developed based on the assumption that a bag is positive if and only if at least one of its instances is positive. Although the assumption works well in a drug activity prediction problem, it is rather restrictive for other applications, especially those in the computer vision area. We propose a learning method, MILES (Multiple- Instance Learning via Embedded instance Selection), which converts the multiple-instance learning problem to a standard supervised learning problem that does not impose the assumption relating instance labels to bag labels. MILES maps each bag into a feature space defined by the instances in the training bags via an instance similarity measure. This feature mapping often provides a large number of redundant or irrelevant features. Hence, 1-norm SVM is applied to select important features as well as construct classifiers simultaneously. We have performed extensive experiments. In comparison with other methods, MILES demonstrates competitive classification accuracy, high computation efficiency, and robustness to labeling uncertainty.																	0162-8828					DEC	2006	28	12					1931	1947		10.1109/TPAMI.2006.248						WOS:000241195700004	17108368	
J	Amaldi, E; Kann, V				Amaldi, E; Kann, V			On the approximability of minimizing nonzero variables or unsatisfied relations in linear systems	THEORETICAL COMPUTER SCIENCE												We investigate the computational complexity of two closely related classes of combinatorial optimization problems for linear systems which arise in various fields such as machine learning, operations research and pattern recognition. In the first class (MIN ULR) one wishes, given a possibly infeasible system of linear relations, to find a solution that violates as few relations as possible while satisfying all the others. In the second class (MIN RVLS) the linear system is supposed to be feasible and one looks for a solution with as few nonzero variables as possible. For both MIN ULR and MIN RVLS the four basic types of relational operators =, greater than or equal to, > and not equal are considered. While MIN RVLS with equations was mentioned to be NP-hard in (Garey and Johnson, 1979), we established in (Amaldi; 1992; Amaldi and Kann, 1995) that MIN ULR with equalities and inequalities are NP-hard even when restricted to homogeneous systems with bipolar coefficients. The latter problems have been shown hard to approximate in (Arora et al., 1993). In this paper we determine strong bounds on the approximability of various variants of MIN RVLS and MIN ULR, including constrained ones where the variables are restricted to take binary values or where some relations are mandatory while others are optional. The various NP-hard versions turn out to have different approximability properties depending on the type of relations and the additional constraints, but none of them can be approximated within any constant factor, unless P = NP. Particular attention is devoted to two interesting special cases that occur in discriminant analysis and machine learning. In particular, we disprove a conjecture of van Horn and Martinet (1992) regarding the existence of a polynomial-time algorithm to design linear classifiers (or perceptrons) that involve a close-to-minimum number of features. (C) 1998 Published by Elsevier Science B.V. All rights reserved.																	0304-3975	1879-2294				DEC 6	1998	209	1-2					237	260		10.1016/S0304-3975(97)00115-1						WOS:000076464000012		
J	Gabrilovich, E; Markovitch, S		Veloso, MM		Gabrilovich, Evgeniy; Markovitch, Shaul			Computing Semantic Relatedness using Wikipedia-based Explicit Semantic Analysis	20TH INTERNATIONAL JOINT CONFERENCE ON ARTIFICIAL INTELLIGENCE					20th International Joint Conference on Artificial Intelligence	JAN 06-12, 2007	Hyderabad, INDIA					Computing semantic relatedness of natural language texts requires access to vast amounts of common-sense and domain-specific world knowledge. We propose Explicit Semantic Analysis (ESA), a novel method that represents the meaning of texts in a high-dimensional space of concepts derived from Wikipedia. We use machine learning techniques to explicitly represent the meaning of any text as a weighted vector of Wikipedia-based concepts. Assessing the relatedness of texts in this space amounts to comparing the corresponding vectors using conventional metrics (e.g., cosine). Compared with the previous state of the art, using ESA results in substantial improvements in correlation of computed relatedness scores with human judgments: from r = 0.56 to 0.75 for individual words and from r = 0.60 to 0.72 for texts. Importantly, due to the use of natural concepts, the ESA model is easy to explain to human users.																							2007							1606	1611								WOS:000283721000258		
J	Moritz, CT; Perlmutter, SI; Fetz, EE				Moritz, Chet T.; Perlmutter, Steve I.; Fetz, Eberhard E.			Direct control of paralysed muscles by cortical neurons	NATURE												A potential treatment for paralysis resulting from spinal cord injury is to route control signals from the brain around the injury by artificial connections. Such signals could then control electrical stimulation of muscles, thereby restoring volitional movement to paralysed limbs(1-3). In previously separate experiments, activity of motor cortex neurons related to actual or imagined movements has been used to control computer cursors and robotic arms(4-10), and paralysed muscles have been activated by functional electrical stimulation(11-13). Here we show that Macaca nemestrina monkeys can directly control stimulation of muscles using the activity of neurons in the motor cortex, thereby restoring goal-directed movements to a transiently paralysed arm. Moreover, neurons could control functional stimulation equally well regardless of any previous association to movement, a finding that considerably expands the source of control signals for brain- machine interfaces. Monkeys learned to use these artificial connections from cortical cells to muscles to generate bidirectional wrist torques, and controlled multiple neuron - muscle pairs simultaneously. Such direct transforms from cortical activity to muscle stimulation could be implemented by autonomous electronic circuitry, creating a relatively natural neuroprosthesis. These results are the first demonstration that direct artificial connections between cortical cells and muscles can compensate for interrupted physiological pathways and restore volitional control of movement to paralysed limbs.					Perlmutter, Steve/0000-0002-1149-4152												0028-0836					DEC 4	2008	456	7222					639	U63		10.1038/nature07418						WOS:000261340000041	18923392	
J	Nguyen, TTT; Armitage, G				Nguyen, Thuy T. T.; Armitage, Grenville			A Survey of Techniques for Internet Traffic Classification using Machine Learning	IEEE COMMUNICATIONS SURVEYS AND TUTORIALS												The research community has begun looking for IP traffic classification techniques that do not rely on 'well known' TCP or UDP port numbers, or interpreting the contents of packet payloads. New work is emerging on the use of statistical traffic characteristics to assist in the identification and classification process. This survey paper looks at emerging research into the application of Machine Learning (ML) techniques to IP traffic classification - an inter-disciplinary blend of IP networking and data mining techniques. We provide context and motivation for the application of ML techniques to IP traffic classification, and review 18 significant works that cover the dominant period from 2004 to early 2007. These works are categorized and reviewed according to their choice of ML strategies and primary contributions to the literature. We also discuss a number of key requirements for the employment of ML-based traffic classifiers in operational IP networks, and qualitatively critique the extent to which the reviewed works meet these requirements. Open issues and challenges in the field are also discussed.																	1553-877X						2008	10	4					56	76		10.1109/SURV.2008.080406						WOS:000207971900005		
J	Evgeniou, T; Micchelli, CA; Pontil, M				Evgeniou, T; Micchelli, CA; Pontil, M			Learning multiple tasks with kernel methods	JOURNAL OF MACHINE LEARNING RESEARCH												We study the problem of learning many related tasks simultaneously using kernel methods and regularization. The standard single-task kernel methods, such as support vector machines and regularization networks, are extended to the case of multi-task learning. Our analysis shows that the problem of estimating many task functions with regularization can be cast as a single task learning problem if a family of multi-task kernel functions we define is used. These kernels model relations among the tasks and are derived from a novel form of regularizers. Specific kernels that can be used for multi-task learning are provided and experimentally tested on two real data sets. In agreement with past empirical work on multi-task learning, the experiments show that learning multiple related tasks simultaneously using the proposed approach can significantly outperform standard single-task learning particularly when there are many related tasks but few data per task.																	1532-4435					APR	2005	6						615	637								WOS:000236329600009		
J	Moghaddam, B; Yang, MH				Moghaddam, B; Yang, MH			Learning gender with support faces	IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE												Nonlinear Support Vector Machines (SVMs) are investigated for appearance-based gender classification with low-resolution '"thumbnail" faces processed from 1.755 images from the FERET face database. The performance of SVMs (3.4 percent error) is shown to be superior to traditional pattern classifiers (linear, quadratic, Fisher linear discriminant, nearest-neighbor) as well as more modern techniques such as Radial Basis Function (RBF) classifiers and large ensemble-RBF networks, Furthermore, the difference in classification performance with low-resolution "thumbnails" (21-by-12 pixels) and the corresponding higher resolution images (84-by-48 pixels) was found to be only 1 percent, thus demonstrating robustness and stability with respect to scale and degree of facial detail.																	0162-8828	1939-3539				MAY	2002	24	5					707	711		10.1109/34.1000244						WOS:000175187800011		
J	Garcia, S; Fernandez, A; Luengo, J; Herrera, F				Garcia, S.; Fernandez, A.; Luengo, J.; Herrera, F.			A study of statistical techniques and performance measures for genetics-based machine learning: accuracy and interpretability	SOFT COMPUTING												The experimental analysis on the performance of a proposed method is a crucial and necessary task to carry out in a research. This paper is focused on the statistical analysis of the results in the field of genetics-based machine Learning. It presents a study involving a set of techniques which can be used for doing a rigorous comparison among algorithms, in terms of obtaining successful classification models. Two accuracy measures for multi-class problems have been employed: classification rate and Cohen's kappa. Furthermore, two interpretability measures have been employed: size of the rule set and number of antecedents. We have studied whether the samples of results obtained by genetics-based classifiers, using the performance measures cited above, check the necessary conditions for being analysed by means of parametrical tests. The results obtained state that the fulfillment of these conditions are problem-dependent and indefinite, which supports the use of non-parametric statistics in the experimental analysis. In addition, non-parametric tests can be satisfactorily employed for comparing generic classifiers over various data-sets considering any performance measure. According to these facts, we propose the use of the most powerful non-parametric statistical tests to carry out multiple comparisons. However, the statistical analysis conducted on interpretability must be carefully considered.				Herrera, Francisco/C-6856-2008; Fernandez, Alberto/G-3827-2014; Luengo, Julian/L-6569-2014; Garcia, Salvador/N-3624-2013; Luengo, Julian/D-1307-2017	Herrera, Francisco/0000-0002-7283-312X; Luengo, Julian/0000-0003-3952-3629; Garcia, Salvador/0000-0003-4494-7565; Luengo, Julian/0000-0003-3952-3629; Fernandez Hilario, Alberto/0000-0002-6480-8434												1432-7643					AUG	2009	13	10					959	977		10.1007/s00500-008-0392-y						WOS:000264874700004		
J	Stamatatos, E				Stamatatos, Efstathios			A Survey of Modern Authorship Attribution Methods	JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY												Authorship attribution supported by statistical or computational methods has a long history starting from the 19th century and is marked by the seminal study of Mosteller and Wallace (1964) on the authorship of the disputed "Federalist Papers." During the last decade, this scientific field has been developed substantially, taking advantage of research advances in areas such as machine learning, information retrieval, and natural language processing. The plethora of available electronic texts (e.g., e-mail messages, online forum messages, blogs, source code, etc.) indicates a wide variety of applications of this technology, provided it is able to handle short and noisy text from multiple candidate authors. In this article, a survey of recent advances of the automated approaches to attributing authorship is presented, examining their characteristics for both text representation and text classification. The focus of this survey is on computational requirements and settings rather than on linguistic or literary issues. We also discuss evaluation methodologies and criteria for authorship attribution studies and list open questions that will attract future work in this area.				Stamatatos, Efstathios/F-2927-2012	Stamatatos, Efstathios/0000-0002-1336-9128												1532-2882					MAR	2009	60	3					538	556		10.1002/asi.21001						WOS:000263935100009		
J	Fan, Y; Batmanghelich, N; Clark, CM; Davatzikos, C				Fan, Yong; Batmanghelich, Nematollah; Clark, Chris M.; Davatzikos, Christos		Alzheimers Dis Neuroimaging Initia	Spatial patterns of brain atrophy in MCI patients, identified via high-dimensional pattern classification, predict subsequent cognitive decline	NEUROIMAGE												Spatial patterns of brain atrophy in mild cognitive impairment (MCI) and Alzheimer's disease (AD) were measured via methods of computational neuroanatomy. These patterns were spatially complex and involved many brain regions. In addition to the hippocampus and the medial temporal lobe gray matter, a number of other regions displayed significant atrophy, including orbitofrontal and medial-prefrontal grey matter, cingulate (mainly posterior), insula, uncus, and temporal lobe white matter. Approximately 2/3 of the MCI group presented patterns of atrophy that overlapped with AD, whereas the remaining 1/3 overlapped with cognitively normal individuals, thereby indicating that some, but not all, MCI patients have significant and extensive brain atrophy in this cohort of MCI patients. Importantly, the group with AD-like patterns presented much higher rate of MMSE decline in follow-up visits; conversely, pattern classification provided relatively high classification accuracy (87%) of the individuals that presented relatively higher MMSE decline within a year from baseline. High-dimensional pattern classification, a nonlinear multivariate analysis, provided measures of structural abnormality that can potentially be useful for individual patient classification, as well as for predicting progression and examining multivariate relationships in group analyses. (C) 2007 Elsevier Inc. All rights reserved.				Scharre, Douglas/E-4030-2011	Fan, Yong/0000-0001-9869-4685												1053-8119	1095-9572				FEB 15	2008	39	4					1731	1743		10.1016/j.neuroimage.2007.10.031						WOS:000253241800022	18053747	
J	Gutierrez-Osuna, R				Gutierrez-Osuna, Ricardo			Pattern Analysis for Machine Olfaction: A Review	IEEE SENSORS JOURNAL												Pattern analysis constitutes a critical building block in the development of gas sensor array instruments capable of detecting, identifying, and measuring volatile compounds, a technology that has been proposed as an artificial substitute of the human olfactory system. The successful design of a pattern analysis system for machine olfaction requires a careful consideration of the various issues involved in processing multivariate data: signal-preprocessing, feature extraction, feature selection, classification, regression, clustering, and validation. A considerable number of methods from statistical pattern recognition, neural networks, chemometrics, machine learning, and biological cybernetics has been used to process electronic nose data. The objective of this review paper is to provide a summary and guidelines for using the most widely used pattern analysis techniques, as well as to identify research directions that are at the frontier of sensor-based machine olfaction.					Gutierrez-Osuna, Ricardo/0000-0003-2817-2085												1530-437X	1558-1748				JUN	2002	2	3					189	202		10.1109/JSEN.2002.800688						WOS:000208326200008		
J	Barbet-Massin, M; Jiguet, F; Albert, CH; Thuiller, W				Barbet-Massin, Morgane; Jiguet, Frederic; Albert, Cecile Helene; Thuiller, Wilfried			Selecting pseudo-absences for species distribution models: how, where and how many?	METHODS IN ECOLOGY AND EVOLUTION												1. Species distribution models are increasingly used to address questions in conservation biology, ecology and evolution. The most effective species distribution models require data on both species presence and the available environmental conditions (known as background or pseudo-absence data) in the area. However, there is still no consensus on how and where to sample these pseudo-absences and how many. 2. In this study, we conducted a comprehensive comparative analysis based on simple simulated species distributions to propose guidelines on how, where and how many pseudo-absences should be generated to build reliable species distribution models. Depending on the quantity and quality of the initial presence data (unbiased vs. climatically or spatially biased), we assessed the relative effect of the method for selecting pseudo-absences (random vs. environmentally or spatially stratified) and their number on the predictive accuracy of seven common modelling techniques (regression, classification and machine-learning techniques). 3. When using regression techniques, the method used to select pseudo-absences had the greatest impact on the model's predictive accuracy. Randomly selected pseudo-absences yielded the most reliable distribution models. Models fitted with a large number of pseudo-absences but equally weighted to the presences (i. e. the weighted sum of presence equals the weighted sum of pseudoabsence) produced the most accurate predicted distributions. For classification and machine-learning techniques, the number of pseudo-absences had the greatest impact on model accuracy, and averaging several runs with fewer pseudo-absences than for regression techniques yielded the most predictive models. 4. Overall, we recommend the use of a large number (e. g. 10 000) of pseudo-absences with equal weighting for presences and absences when using regression techniques (e. g. generalised linear model and generalised additive model); averaging several runs (e. g. 10) with fewer pseudo-absences (e. g. 100) with equal weighting for presences and absences with multiple adaptive regression splines and discriminant analyses; and using the same number of pseudo-absences as available presences (averaging several runs if few pseudo-absences) for classification techniques such as boosted regression trees, classification trees and random forest. In addition, we recommend the random selection of pseudo-absences when using regression techniques and the random selection of geographically and environmentally stratified pseudo-absences when using classification and machine-learning techniques.				THUILLER, Wilfried/G-3283-2010; albert, cecile/H-5804-2012	THUILLER, Wilfried/0000-0002-5388-5274; 												2041-210X					APR	2012	3	2					327	338		10.1111/j.2041-210X.2011.00172.x						WOS:000302538500013		
J	Friston, KJ; Mattout, J; Trujillo-Barreto, N; Ashburner, J; Penny, W				Friston, Karl J.; Mattout, Jeremie; Trujillo-Barreto, Nelson; Ashburner, John; Penny, Will			Variational free energy and the Laplace approximation	NEUROIMAGE												This note derives the variational free energy under the Laplace approximation, with a focus on accounting for additional model complexity induced by increasing the number of model parameters. This is relevant when using the free energy as an approximation to the log-evidence in Bayesian model averaging and selection. By setting restricted maximum likelihood (ReML) in the larger context of variational learning and expectation maximisation (EM), we show how the ReML objective function can be adjusted to provide an approximation to the log-evidence for a particular model. This means ReML can be used for model selection, specifically to select or compare models with different covariance components. This is useful in the context of hierarchical models because it enables a principled selection of priors that, under simple hyperpriors, can be used for automatic model selection and relevance determination (ARD). Deriving the ReML objective function, from basic variational principles, discloses the simple relationships among Variational Bayes, EM and ReML. Furthermore, we show that EM is formally identical to a full variational treatment when the precisions are linear in the hyperparameters. Finally, we also consider, briefly, dynamic models and how these inform the regularisation of free energy ascent schemes, like EM and ReML. (c) 2006 Elsevier Inc. All rights reserved.				Friston, Karl/D-9230-2011; Trujillo-Barreto, Nelson/G-3764-2013; Trujillo-Barreto, Nelson/I-9402-2014; Ashburner, John/I-3757-2013	Friston, Karl/0000-0001-7984-8909; Trujillo-Barreto, Nelson/0000-0001-6581-7503; Trujillo-Barreto, Nelson/0000-0001-6581-7503; Ashburner, John/0000-0001-7605-2518; Penny, William/0000-0001-9064-1191												1053-8119	1095-9572				JAN 1	2007	34	1					220	234		10.1016/j.neuroimage.2006.08.035						WOS:000242735300022	17055746	
J	Allwein, EL; Schapire, RE; Singer, Y				Allwein, EL; Schapire, RE; Singer, Y			Reducing multiclass to binary: A unifying approach for margin classifiers	JOURNAL OF MACHINE LEARNING RESEARCH												We present a unifying framework for studying the solution of multiclass categorization problems by reducing them to multiple binary problems that are then solved using a margin-based binary learning algorithm. The proposed framework unifies some of the most popular approaches in which each class is compared against all others, or in which all pairs of classes are compared to each other, or in which output codes with error-correcting properties are used. We propose a general method for combining the classifiers generated on the binary problems, and we prove a general empirical multiclass loss bound given the empirical loss of the individual binary learning algorithms. The scheme and the corresponding bounds apply to many popular classification learning algorithms including support-vector machines, AdaBoost, regression, logistic regression and decision-tree algorithms. We also give a multiclass generalization error analysis for general output codes with AdaBoost as the binary learner. Experimental results with SVM and AdaBoost show that our scheme provides a viable alternative to the most commonly used multiclass algorithms.																	1532-4435					SPR	2001	1	2					113	141		10.1162/15324430152733133						WOS:000173336800002		
J	Orru, G; Pettersson-Yeo, W; Marquand, AF; Sartori, G; Mechelli, A				Orru, Graziella; Pettersson-Yeo, William; Marquand, Andre F.; Sartori, Giuseppe; Mechelli, Andrea			Using Support Vector Machine to identify imaging biomarkers of neurological and psychiatric disease: A critical review	NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS												Standard univariate analysis of neuroimaging data has revealed a host of neuroanatomical and functional differences between healthy individuals and patients suffering a wide range of neurological and psychiatric disorders. Significant only at group level however these findings have had limited clinical translation, and recent attention has turned toward alternative forms of analysis, including Support-Vector-Machine (SVM). A type of machine learning, SVM allows categorisation of an individual's previously unseen data into a predefined group using a classification algorithm, developed on a training data set. In recent years, SVM has been successfully applied in the context of disease diagnosis, transition prediction and treatment prognosis, using both structural and functional neuroimaging data. Here we provide a brief overview of the method and review those studies that applied it to the investigation of Alzheimer's disease, schizophrenia, major depression, bipolar disorder, presymptomatic Huntington's disease, Parkinson's disease and autistic spectrum disorder. We conclude by discussing the main theoretical and practical challenges associated with the implementation of this method into the clinic and possible future directions. (C) 2012 Elsevier Ltd. All rights reserved.				Marquand, Andre/B-6050-2012	Marquand, Andre/0000-0001-5903-203X; Sartori, Giuseppe/0000-0002-6026-0133												0149-7634	1873-7528				APR	2012	36	4					1140	1152		10.1016/j.neubiorev.2012.01.004						WOS:000302970900004		
J	Lafon, S; Lee, AB				Lafon, Stephane; Lee, Ann B.			Diffusion maps and coarse-graining: A unified framework for dimensionality reduction, graph partitioning, and data set parameterization	IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE												We provide evidence that nonlinear dimensionality reduction, clustering, and data set parameterization can be solved within one and the same framework. The main idea is to define a system of coordinates with an explicit metric that reflects the connectivity of a given data set and that is robust to noise. Our construction, which is based on a Markov random walk on the data, offers a general scheme of simultaneously reorganizing and subsampling graphs and arbitrarily shaped data sets in high dimensions using intrinsic geometry. We show that clustering in embedding spaces is equivalent to compressing operators. The objective of data partitioning and clustering is to coarse-grain the random walk on the data while at the same time preserving a diffusion operator for the intrinsic geometry or connectivity of the data set up to some accuracy. We show that the quantization distortion in diffusion space bounds the error of compression of the operator, thus giving a rigorous justification fork-means clustering in diffusion space and a precise measure of the performance of general clustering algorithms.																	0162-8828					SEP	2006	28	9					1393	1403		10.1109/TPAMI.2006.184						WOS:000238950800004	16929727	
J	Millan, JD; Renkens, F; Mourino, J; Gerstner, W				Millan, JD; Renkens, F; Mourino, J; Gerstner, W			Noninvasive brain-actuated control of a mobile robot by human EEG	IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING												Brain activity recorded noninvasively is sufficient to control a mobile robot if advanced robotics is used in combination with asynchronous electroencephalogram (EEG) analysis and machine learning techniques. Until now brain-actuated control has mainly relied on implanted electrodes, since EEG-based systems have been considered too slow for controlling rapid and complex sequences of movements. We show that two human subjects successfully moved a robot between several rooms by mental control only, using an EEG-based brain-machine interface that recognized three mental states. Mental control was comparable to manual control on the same task with a performance ratio of 0.74.				Millan, Jose del R./F-1696-2011	Millan, Jose del R./0000-0001-5819-1522												0018-9294					JUN	2004	51	6					1026	1033		10.1109/TBME.2004.827086						WOS:000221578000022		
J	Zhang, ML; Zhou, ZH				Zhang, Min-Ling; Zhou, Zhi-Hua			Multilabel neural networks with applications to functional genomics and text categorization	IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING												In multilabel learning, each instance in the training set is associated with a set of labels and the task is to output a label set whose size is unknown a priori for each unseen instance. In this paper, this problem is addressed in the way that a neural network algorithm named BP-MLL, i.e., Backpropagation for Multilabel Learning, is proposed. It is derived from the popular Backpropogation algorithm through employing a novel error function capturing the characteristics of multilabel learning, i.e., the labels belonging to an instance should be ranked higher than those not belonging to that instance. Applications to two real-world multilabel learning problems, i.e., functional genomics and text categorization, show that the performance of BP-MLL is superior to that of some well-established multilabel learning algorithms.																	1041-4347	1558-2191				OCT	2006	18	10					1338	1351		10.1109/TKDE.2006.162						WOS:000239814600004		
J	Bartlett, PL; Jordan, MI; McAuliffe, JD				Bartlett, PL; Jordan, MI; McAuliffe, JD			Convexity, classification, and risk bounds	JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION												Many of the classification algorithms developed in the machine learning literature, including the support vector machine and boosting, can be viewed as minimum contrast methods that minimize a convex surrogate of the 0-1 loss function. The convexity makes these algorithms computationally efficient. The use of a surrogate, however, has statistical consequences that must be balanced against the computational virtues of convexity. To study these issues, we provide a general quantitative relationship between the risk as assessed using the 0-1 loss and the risk as assessed using any nonnegative surrogate loss function. We show that this relationship gives nontrivial upper bounds on excess risk under the weakest possible condition on the loss function-that it satisfies a pointwise form of Fisher consistency for classification. The relationship is based on a simple variational transformation of the loss function that is easy to compute in many applications. We also present a refined version of this result in the case of low noise. and show that in this case, strictly convex loss functions lead to faster rates of convergence of the risk than would be implied by standard uniform convergence arguments. Finally, we present applications of our results to the estimation of convergence rates in function classes that are scaled convex hulls of a finite-dimensional base class, with a variety of commonly used loss functions.					Bartlett, Peter/0000-0002-8760-3140												0162-1459	1537-274X				MAR	2006	101	473					138	156		10.1198/016214505000000907						WOS:000235958400017		
J	Martinez-Meyer, E; Townsend Peterson, A; Hargrove, WW				Martinez-Meyer, E; Townsend Peterson, A; Hargrove, WW			Ecological niches as stable distributional constraints on mammal species, with implications for Pleistocene extinctions and climate change projections for biodiversity	GLOBAL ECOLOGY AND BIOGEOGRAPHY												Aim Theoretical work suggests that species' ecological niches should remain relatively constant over long-term ecological time periods, but empirical tests are few. We present longitudinal studies of 23 extant mammal species, modelling ecological niches and predicting geographical distributions reciprocally between the Last Glacial Maximum and present to test this evolutionary conservatism. Location This study covered distributional shifts in mammal species across the lower 48 states of the United States. Methods We used a machine-learning tool for modelling species' ecological niches, based on known occurrences and electronic maps summarizing ecological dimensions, to assess the ability of ecological niches as modelled in one time period to predict the geographical distribution of the species in another period, and vice versa. Results High intertemporal predictivity between niche models and species' occurrences indicate that niche conservatism is widespread among the taxa studied, particularly when statistical power is considered as a reason for failure of reciprocal predictions. Niche projections to the present for 8 mammal taxa that became extinct at the end of the Pleistocene generally increased in area, and thus do not support the hypothesis of niche collapse as a major driving force in their extinction. Main conclusions Ecological niches represent long-term stable constraints on the distributional potential of species; indeed, this study suggests that mammal species have tracked consistent climate profiles throughout the drastic climate change events that marked the end of the Pleistocene glaciations. Many current modelling efforts focusing on anticipating climate change effects on species' potential geographical distributions will be bolstered by this result - in essence, the first longitudinal demonstration of niche conservatism.				Martinez-Meyer, Enrique/B-1464-2008	Martinez-Meyer, Enrique/0000-0003-1184-9264; Peterson, A. Townsend/0000-0003-0243-2379												0960-7447					JUL	2004	13	4					305	314		10.1111/j.1466-822X.2004.00107.x						WOS:000222175600003		
J	Wager, TD; Atlas, LY; Lindquist, MA; Roy, M; Woo, CW; Kross, E				Wager, Tor D.; Atlas, Lauren Y.; Lindquist, Martin A.; Roy, Mathieu; Woo, Choong-Wan; Kross, Ethan			An fMRI-Based Neurologic Signature of Physical Pain	NEW ENGLAND JOURNAL OF MEDICINE												BACKGROUND Persistent pain is measured by means of self-report, the sole reliance on which hampers diagnosis and treatment. Functional magnetic resonance imaging (fMRI) holds promise for identifying objective measures of pain, but brain measures that are sensitive and specific to physical pain have not yet been identified. METHODS In four studies involving a total of 114 participants, we developed an fMRI-based measure that predicts pain intensity at the level of the individual person. In study 1, we used machine-learning analyses to identify a pattern of fMRI activity across brain regions - a neurologic signature - that was associated with heat-induced pain. The pattern included the thalamus, the posterior and anterior insulae, the secondary somatosensory cortex, the anterior cingulate cortex, the periaqueductal gray matter, and other regions. In study 2, we tested the sensitivity and specificity of the signature to pain versus warmth in a new sample. In study 3, we assessed specificity relative to social pain, which activates many of the same brain regions as physical pain. In study 4, we assessed the responsiveness of the measure to the analgesic agent remifentanil. RESULTS In study 1, the neurologic signature showed sensitivity and specificity of 94% or more (95% confidence interval [CI], 89 to 98) in discriminating painful heat from nonpainful warmth, pain anticipation, and pain recall. In study 2, the signature discriminated between painful heat and nonpainful warmth with 93% sensitivity and specificity (95% CI, 84 to 100). In study 3, it discriminated between physical pain and social pain with 85% sensitivity (95% CI, 76 to 94) and 73% specificity (95% CI, 61 to 84) and with 95% sensitivity and specificity in a forced-choice test of which of two conditions was more painful. In study 4, the strength of the signature response was substantially reduced when remifentanil was administered. CONCLUSIONS It is possible to use fMRI to assess pain elicited by noxious heat in healthy persons. Future studies are needed to assess whether the signature predicts clinical pain. (Funded by the National Institute on Drug Abuse and others.)				Roy, Mathieu/H-1963-2017	, Ethan/0000-0002-8664-2711												0028-4793					APR 11	2013	368	15					1388	1397		10.1056/NEJMoa1204471						WOS:000317333600006	23574118	
